RegionName,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023
10000,"2,770.30","2,790.70","2,807.50","2,824.50","2,843.60","2,856.80","2,866.80","2,865.40","2,855.00","2,840.80","2,833.60","2,837.20","2,843.50","2,848.50","2,861.10","2,874.70","2,889.30","2,893.70","2,888.20","2,877.00","2,851.50","2,830.60","2,820.80","2,827.80","2,839.20","2,858.50","2,880.80","2,906.60","2,922.70","2,934.00","2,930.80","2,907.90","2,883.10","2,861.40","2,859.20","2,869.80","2,883.00","2,903.30","2,921.90","2,942.40","2,956.30","2,965.70","2,968.10","2,963.30","2,943.50","2,932.00","2,927.00","2,939.00","2,956.80","2,978.90","3,001.50","3,025.40","3,041.50","3,051.20","3,050.10","3,041.00","3,017.60","3,011.20","3,016.40","3,041.60","3,047.60","3,040.20","3,011.00","2,967.90","2,915.20","2,839.70","2,756.20","2,675.40","2,608.30","2,559.90","2,537.70","2,542.60","2,576.20","2,618.60","2,678.80","2,746.70","2,829.30","2,916.30","2,989.30","3,047.10","3,080.20","3,121.30","3,152.40","3,208.10","3,265.60","3,333.50","3,398.60","3,460.40","3,513.80","3,545.50","3,546.60","3,521.20","3,474.70","3,441.40","3,430.70","3,445.90"
10020,"3,433.00","3,465.10","3,502.80","3,520.50","3,526.30","3,540.70","3,554.40","3,573.60","3,553.20","3,533.90","3,478.30","3,461.20","3,467.00","3,493.80","3,518.70","3,541.70","3,565.90","3,573.40","3,553.20","3,547.30","3,521.70","3,477.80","3,444.10","3,433.80","3,456.80","3,484.30","3,516.70","3,553.80","3,566.60","3,581.40","3,576.90","3,546.60","3,490.50","3,446.90","3,440.90","3,458.90","3,472.00","3,469.40","3,490.80","3,526.20","3,572.10","3,593.30","3,580.60","3,564.70","3,516.00","3,490.90","3,467.90","3,481.00","3,490.90","3,531.40","3,575.90","3,631.40","3,648.80","3,652.90","3,652.10","3,626.60","3,611.80","3,589.00","3,592.80","3,605.10","3,623.20","3,618.10","3,552.40","3,465.00","3,373.80","3,285.70","3,179.30","3,098.20","3,076.00","3,057.40","3,049.50","3,061.10","3,084.80","3,157.90","3,228.60","3,352.10","3,476.60","3,578.50","3,690.60","3,745.50","3,783.70","3,792.60","3,830.40","3,907.30","3,979.30","4,031.70","4,117.40","4,221.50","4,324.20","4,334.50","4,328.50","4,232.40","4,162.60","4,104.50","4,127.90","4,147.60"
10045,"3,581.00","3,659.30","3,708.40","3,746.90","3,735.10","3,756.90","3,760.70","3,736.70","3,700.20","3,676.20","3,662.10","3,660.50","3,648.50","3,684.90","3,720.30","3,756.30","3,778.70","3,782.90","3,785.10","3,760.20","3,703.30","3,638.20","3,594.40","3,616.50","3,658.50","3,704.60","3,747.50","3,782.50","3,821.00","3,820.50","3,815.70","3,769.80","3,742.10","3,712.40","3,693.40","3,682.80","3,695.80","3,730.60","3,782.90","3,815.50","3,847.20","3,872.50","3,888.20","3,859.60","3,822.20","3,806.00","3,817.40","3,835.00","3,856.70","3,882.90","3,919.70","3,948.60","3,992.30","4,004.70","4,007.60","3,987.00","3,966.00","3,956.60","3,959.40","3,979.90","4,017.80","3,975.00","3,919.80","3,825.70","3,756.90","3,644.60","3,509.90","3,385.30","3,312.00","3,271.70","3,254.10","3,270.10","3,317.50","3,395.80","3,498.40","3,638.80","3,831.00","4,019.00","4,179.40","4,273.30","4,306.30","4,318.30","4,347.40","4,385.80","4,442.30","4,527.00","4,656.30","4,778.00","4,840.50","4,853.50","4,830.50","4,778.30","4,703.10","4,620.10","4,610.70","4,625.50"
10048,"3,581.00","3,659.30","3,708.40","3,746.90","3,735.10","3,756.90","3,760.70","3,736.70","3,700.20","3,676.20","3,662.10","3,660.50","3,648.50","3,684.90","3,720.30","3,756.30","3,778.70","3,782.90","3,785.10","3,760.20","3,703.30","3,638.20","3,594.40","3,616.50","3,658.50","3,704.60","3,747.50","3,782.50","3,821.00","3,820.50","3,815.70","3,769.80","3,742.10","3,712.40","3,693.40","3,682.80","3,695.80","3,730.60","3,782.90","3,815.50","3,847.20","3,872.50","3,888.20","3,859.60","3,822.20","3,806.00","3,817.40","3,835.00","3,856.70","3,882.90","3,919.70","3,948.60","3,992.30","4,004.70","4,007.60","3,987.00","3,966.00","3,956.60","3,959.40","3,979.90","4,017.80","3,975.00","3,919.80","3,825.70","3,756.90","3,644.60","3,509.90","3,385.30","3,312.00","3,271.70","3,254.10","3,270.10","3,317.50","3,395.80","3,498.40","3,638.80","3,831.00","4,019.00","4,179.40","4,273.30","4,306.30","4,318.30","4,347.40","4,385.80","4,442.30","4,527.00","4,656.30","4,778.00","4,840.50","4,853.50","4,830.50","4,778.30","4,703.10","4,620.10","4,610.70","4,625.50"
10123,"3,508.70","3,521.60","3,534.10","3,564.50","3,585.00","3,595.60","3,602.20","3,601.00","3,576.40","3,546.80","3,534.70","3,528.50","3,541.50","3,549.70","3,580.20","3,596.90","3,580.50","3,589.70","3,590.10","3,613.60","3,583.90","3,537.50","3,508.40","3,501.20","3,522.20","3,550.30","3,587.90","3,608.90","3,621.80","3,628.60","3,627.00","3,608.30","3,545.60","3,508.90","3,474.70","3,479.10","3,498.90","3,538.60","3,592.50","3,630.40","3,655.30","3,668.00","3,661.50","3,646.60","3,619.00","3,597.20","3,590.80","3,594.80","3,622.50","3,647.60","3,688.50","3,719.20","3,751.60","3,778.30","3,775.80","3,752.90","3,717.90","3,685.20","3,667.70","3,673.10","3,712.20","3,699.90","3,662.20","3,581.20","3,510.30","3,365.00","3,252.70","3,151.50","3,088.40","3,048.00","3,027.60","3,052.10","3,103.50","3,189.30","3,296.60","3,444.00","3,600.40","3,755.70","3,876.10","3,953.40","3,999.00","4,014.70","4,042.10","4,082.00","4,140.50","4,204.40","4,294.80","4,387.70","4,468.10","4,486.70","4,474.80","4,428.60","4,368.20","4,291.10","4,260.30","4,267.00"
10129,"3,341.80","3,372.70","3,389.80","3,423.30","3,424.30","3,439.30","3,446.90","3,448.20","3,423.50","3,415.70","3,396.20","3,393.30","3,383.60","3,390.30","3,409.20","3,424.40","3,450.40","3,452.00","3,453.20","3,446.60","3,421.30","3,388.30","3,359.70","3,371.80","3,378.80","3,391.90","3,410.80","3,444.20","3,481.00","3,478.30","3,460.70","3,430.60","3,393.90","3,374.20","3,347.80","3,354.40","3,363.10","3,383.30","3,412.60","3,444.70","3,479.00","3,497.60","3,494.60","3,470.10","3,423.70","3,395.10","3,379.50","3,395.50","3,421.70","3,457.10","3,497.30","3,525.30","3,552.50","3,568.10","3,568.40","3,542.80","3,523.40","3,514.60","3,512.40","3,518.00","3,529.10","3,520.90","3,470.70","3,405.00","3,343.20","3,255.50","3,144.20","3,046.80","2,981.90","2,939.70","2,907.20","2,904.60","2,933.20","2,996.90","3,082.70","3,196.90","3,339.40","3,468.20","3,575.80","3,648.60","3,709.40","3,749.50","3,786.30","3,832.20","3,886.70","3,951.80","4,044.00","4,139.00","4,205.40","4,211.60","4,196.60","4,131.50","4,083.30","4,038.00","4,057.40","4,065.90"
10275,"3,606.80","3,621.60","3,643.60","3,649.40","3,673.60","3,699.70","3,744.20","3,754.30","3,744.00","3,694.30","3,611.00","3,582.10","3,588.60","3,633.20","3,664.90","3,667.20","3,675.60","3,677.80","3,692.10","3,755.50","3,634.30","3,567.70","3,561.90","3,560.60","3,614.60","3,626.60","3,655.70","3,653.20","3,697.60","3,718.30","3,738.30","3,703.70","3,649.70","3,588.30","3,562.40","3,560.20","3,580.00","3,591.30","3,622.60","3,673.70","3,744.30","3,788.50","3,810.80","3,818.30","3,797.20","3,759.40","3,731.40","3,730.50","3,763.70","3,803.80","3,852.30","3,878.50","3,904.20","3,908.70","3,926.20","3,897.70","3,876.00","3,835.80","3,838.70","3,849.70","3,870.00","3,857.00","3,811.60","3,756.50","3,667.90","3,562.80","3,397.50","3,317.90","3,258.10","3,283.40","3,269.90","3,291.30","3,329.10","3,401.90","3,504.50","3,639.50","3,794.20","3,910.80","3,750.20","4,170.20","4,256.40","4,210.40","4,243.80","4,310.60","4,428.30","4,531.40","4,634.90","4,742.20","4,785.00","4,806.80","4,785.10","4,726.30","4,686.70","4,600.00","4,565.30","4,606.70"
10281,"3,606.80","3,621.60","3,643.60","3,649.40","3,673.60","3,699.70","3,744.20","3,754.30","3,744.00","3,694.30","3,611.00","3,582.10","3,588.60","3,633.20","3,664.90","3,667.20","3,675.60","3,677.80","3,692.10","3,755.50","3,634.30","3,567.70","3,561.90","3,560.60","3,614.60","3,626.60","3,655.70","3,653.20","3,697.60","3,718.30","3,738.30","3,703.70","3,649.70","3,588.30","3,562.40","3,560.20","3,580.00","3,591.30","3,622.60","3,673.70","3,744.30","3,788.50","3,810.80","3,818.30","3,797.20","3,759.40","3,731.40","3,730.50","3,763.70","3,803.80","3,852.30","3,878.50","3,904.20","3,908.70","3,926.20","3,897.70","3,876.00","3,835.80","3,838.70","3,849.70","3,870.00","3,857.00","3,811.60","3,756.50","3,667.90","3,562.80","3,397.50","3,317.90","3,258.10","3,283.40","3,269.90","3,291.30","3,329.10","3,401.90","3,504.50","3,639.50","3,794.20","3,910.80","3,750.20","4,170.20","4,256.40","4,210.40","4,243.80","4,310.60","4,428.30","4,531.40","4,634.90","4,742.20","4,785.00","4,806.80","4,785.10","4,726.30","4,686.70","4,600.00","4,565.30","4,606.70"
10302,"1,142.80","1,154.30","1,166.00","1,177.80","1,189.70","1,201.70","1,213.80","1,226.10","1,238.50","1,251.00","1,263.60","1,276.40","1,289.30","1,305.50","1,322.40","1,320.40","1,251.90","1,284.80","1,349.60","1,456.10","1,459.80","1,451.20","1,453.10","1,425.00",#DIV/0!,"1,347.30","1,374.10","1,428.80","1,473.50","1,478.20","1,485.40","1,522.70","1,470.70","1,477.10","1,412.50","1,446.10","1,460.40","1,504.90","1,546.20","1,537.20","1,592.30","1,622.60","1,642.20","1,614.30","1,602.90","1,620.60","1,620.40","1,601.40","1,556.50","1,572.50","1,590.00","1,644.40","1,648.50","1,630.80","1,609.70","1,628.00","1,649.50","1,670.60","1,610.60","1,597.70","1,623.80","1,667.50","1,682.40","1,677.80","1,703.20","1,823.40","1,872.90","1,873.40","1,911.50","1,893.00","1,874.80","1,838.00","1,812.50","1,828.70","1,894.70","1,922.50","1,980.40","1,944.80","1,978.70","1,974.30","1,995.40","1,948.90","1,980.30","1,968.10","1,960.50","2,004.30","2,049.10","2,079.60","2,126.20","2,099.50","2,128.10","2,152.40","2,208.30","2,200.50","2,120.90","2,182.00"
10305,"1,142.80","1,154.30","1,166.00","1,177.80","1,189.70","1,201.70","1,213.80","1,226.10","1,238.50","1,251.00","1,263.60","1,276.40","1,289.30","1,305.50","1,322.40","1,320.40","1,251.90","1,284.80","1,349.60","1,456.10","1,459.80","1,451.20","1,453.10","1,425.00",#DIV/0!,"1,347.30","1,374.10","1,428.80","1,473.50","1,478.20","1,485.40","1,522.70","1,470.70","1,477.10","1,412.50","1,446.10","1,460.40","1,504.90","1,546.20","1,537.20","1,592.30","1,622.60","1,642.20","1,614.30","1,602.90","1,620.60","1,620.40","1,601.40","1,556.50","1,572.50","1,590.00","1,644.40","1,648.50","1,630.80","1,609.70","1,628.00","1,649.50","1,670.60","1,610.60","1,597.70","1,623.80","1,667.50","1,682.40","1,677.80","1,703.20","1,823.40","1,872.90","1,873.40","1,911.50","1,893.00","1,874.80","1,838.00","1,812.50","1,828.70","1,894.70","1,922.50","1,980.40","1,944.80","1,978.70","1,974.30","1,995.40","1,948.90","1,980.30","1,968.10","1,960.50","2,004.30","2,049.10","2,079.60","2,126.20","2,099.50","2,128.10","2,152.40","2,208.30","2,200.50","2,120.90","2,182.00"
