,irs_zip_code,Total_income_A02650,Total_returns_N02650
0,0,139735730.0,2161240.0
1,35004,331183.0,5420.0
2,35005,139266.0001,3440.0
3,35006,66755.0001,1230.0
4,35007,776780.0,12600.0
5,35010,467529.0,8280.0
6,35014,88943.0001,1730.0
7,35016,435107.0,7700.0
8,35019,55316.0,1000.0
9,35020,282442.0,9570.0
10,35022,639408.0,10890.0
11,35023,524456.0,10660.0
12,35031,146045.0001,3080.0
13,35033,99276.0,1520.0
14,35034,59059.0,1580.0
15,35035,49174.0,590.0
16,35040,505101.0,8950.0
17,35042,121051.0,2350.0
18,35043,574810.0,6210.0
19,35044,151220.0,3350.0
20,35045,320258.0,6070.0
21,35046,154084.0,2440.0
22,35049,90462.0001,1650.0
23,35051,279160.0,3720.0
24,35053,105217.0,1290.0
25,35054,170242.0,1990.0
26,35055,520715.0,8700.0
27,35057,361875.0,5700.0
28,35058,265155.0,4490.0
29,35061,23341.0001,660.0
30,35062,207595.0,3410.0
31,35063,59752.0,1270.0
32,35064,152718.0,4340.0
33,35068,212475.0,4110.0
34,35071,545951.0,7810.0
35,35072,81034.0,1870.0
36,35073,40778.0,980.0
37,35077,269913.0,5660.0
38,35078,56135.0001,950.0
39,35079,231037.0,3970.0
40,35080,714428.0,8910.0
41,35083,67072.0001,1290.0
42,35085,181591.0,3590.0
43,35087,41667.0,930.0
44,35089,28379.0,740.0
45,35091,108222.0,1430.0
46,35094,417203.0,6690.0
47,35096,226857.0,3970.0
48,35097,41271.0,780.0
49,35098,28262.0,610.0
50,35111,520679.0,7730.0
51,35114,230365.0,3290.0
52,35115,290093.0,6020.0
53,35116,151603.0,2110.0
54,35117,185893.0,2800.0
55,35118,67382.0,1370.0
56,35120,408387.0,7080.0
57,35121,365619.0,6350.0
58,35124,1061455.0,12230.0
59,35125,234755.0,4680.0
60,35126,523321.0,9890.0
61,35127,248680.0,4760.0
62,35128,325182.0,4650.0
63,35130,61013.0,1300.0
64,35131,73757.0,1620.0
65,35133,90878.0,1730.0
66,35135,53221.0001,870.0
67,35136,38709.0,700.0
68,35143,88506.0,1390.0
69,35146,368679.0,5210.0
70,35147,185563.0,2420.0
71,35148,51131.0,1080.0
72,35150,338769.0,7450.0
73,35151,171133.0,3120.0
74,35160,451204.0,10120.0
75,35171,79483.0001,1440.0
76,35172,55535.0,1210.0
77,35173,1314695.0,13810.0
78,35175,145688.0,2270.0
79,35176,16522.0,340.0
80,35178,85839.0001,1640.0
81,35179,252698.0,4110.0
82,35180,378326.0,5940.0
83,35183,15141.0001,300.0
84,35184,111487.0001,2280.0
85,35186,170825.0,2230.0
86,35188,71573.0,1230.0
87,35203,175187.0,1510.0
88,35204,94188.0,3470.0
89,35205,512981.0,7830.0
90,35206,227961.0,6810.0
91,35207,91837.0,3280.0
92,35208,169439.0,5870.0
93,35209,1494213.0,11710.0
94,35210,461909.0,6880.0
95,35211,355193.0,10470.0
96,35212,199090.0,4530.0
97,35213,2037746.0,7070.0
98,35214,336066.0001,8710.0
99,35215,729646.0001,20830.0
100,35216,1643025.0,16390.0
101,35217,174267.0,5170.0
102,35218,68413.0001,2610.0
103,35221,50067.0001,1810.0
104,35222,407499.0,4000.0
105,35223,2448693.0,5420.0
106,35224,68068.0,2200.0
107,35226,1938911.0,17100.0
108,35228,131799.0,4410.0
109,35233,85333.0,970.0
110,35234,50159.0001,1880.0
111,35235,420899.0,9670.0
112,35242,3953890.0,26580.0
113,35243,1541978.0,10110.0
114,35244,1864158.0,17490.0
115,35401,373824.0,10240.0
116,35404,367133.0,8230.0
117,35405,971630.0,19360.0
118,35406,1108277.0,7230.0
119,35441,22524.0001,460.0
120,35442,73523.0,1940.0
121,35443,23676.0001,730.0
122,35444,89661.0001,1700.0
123,35446,45636.0,860.0
124,35447,57138.0001,1270.0
125,35452,96868.0,1660.0
126,35453,269642.0,5170.0
127,35456,92948.0001,1930.0
128,35458,13628.0002,240.0
129,35459,13257.0,340.0
130,35460,8724.0001,240.0
131,35461,36169.0,730.0
132,35462,68141.0001,1880.0
133,35463,44339.0,840.0
134,35464,5757.0001,200.0
135,35466,137761.0001,2300.0
136,35469,5516.0002,130.0
137,35470,83283.0,1810.0
138,35473,462425.0,7360.0
139,35474,160744.0,3190.0
140,35475,700185.0,7550.0
141,35476,152095.0,3470.0
142,35480,46033.0,790.0
143,35481,55778.0,1330.0
144,35490,110933.0001,1970.0
145,35501,177644.0,3810.0
146,35503,186379.0,3580.0
147,35504,367567.0,5490.0
148,35540,49123.0,1000.0
149,35541,104786.0,1460.0
150,35542,20791.0,460.0
151,35543,18062.0001,410.0
152,35544,10961.0001,260.0
153,35546,83195.0001,1620.0
154,35548,22915.0,580.0
155,35549,59741.0,1430.0
156,35550,92726.0001,1970.0
157,35552,18940.0,400.0
158,35553,94401.0,1710.0
159,35554,22361.0,430.0
160,35555,178573.0,3740.0
161,35563,81844.0001,1630.0
162,35564,35798.0,830.0
163,35565,279369.0,4970.0
164,35570,192844.0,4150.0
165,35571,15903.0001,370.0
166,35572,27719.0,430.0
167,35574,29791.0,540.0
168,35575,17109.0,390.0
169,35576,61088.0,1190.0
170,35578,84740.0,1890.0
171,35579,57192.0,1190.0
172,35580,76938.0001,1540.0
173,35581,91547.0001,1950.0
174,35582,109491.0,1690.0
175,35585,33411.0,650.0
176,35586,76163.0,1650.0
177,35587,16895.0001,340.0
178,35592,88160.0,1750.0
179,35593,32171.0,700.0
180,35594,165950.0,3040.0
181,35601,707179.0,14220.0
182,35603,1074489.0,14860.0
183,35610,41798.0,780.0
184,35611,592520.0,11180.0
185,35613,992733.0,11090.0
186,35614,170293.0,3260.0
187,35616,71623.0,1450.0
188,35618,32591.0,780.0
189,35619,122971.0,2170.0
190,35620,229980.0,4030.0
191,35621,69844.0001,1230.0
192,35622,141131.0,2780.0
193,35630,748465.0,13320.0
194,35633,515232.0,8880.0
195,35634,448398.0,4770.0
196,35640,841460.0,11490.0
197,35643,62848.0,1360.0
198,35645,433381.0,5990.0
199,35646,93251.0,1850.0
200,35647,26839.0,470.0
201,35648,90316.0001,1620.0
202,35650,309910.0,5760.0
203,35651,21995.0,440.0
204,35652,237313.0,3640.0
205,35653,206611.0,4470.0
206,35654,142613.0,3220.0
207,35660,163168.0,3900.0
208,35661,569736.0,8370.0
209,35670,195177.0,3330.0
210,35671,56009.0,950.0
211,35672,132180.0,2540.0
212,35673,201318.0,3520.0
213,35674,477133.0,8580.0
214,35677,36022.0,760.0
215,35739,138993.0,2420.0
216,35740,62121.0,1340.0
217,35741,219468.0,1770.0
218,35744,47362.0,1020.0
219,35746,16261.0001,340.0
220,35747,170281.0,2640.0
221,35748,389951.0,3580.0
222,35749,984188.0,13370.0
223,35750,379555.0,6520.0
224,35751,5069.0002,100.0
225,35752,40825.0,850.0
226,35754,153469.0,2390.0
227,35755,20997.0001,310.0
228,35756,1090235.0,10940.0
229,35757,720221.0,8610.0
230,35758,2287564.0,22320.0
231,35759,405320.0,5400.0
232,35760,129272.0,2210.0
233,35761,409801.0,5770.0
234,35763,1202641.0,9810.0
235,35764,10041.0001,240.0
236,35765,68420.0,1480.0
237,35768,251161.0,4980.0
238,35769,346955.0,4480.0
239,35771,68461.0001,1440.0
240,35772,88149.0,1870.0
241,35773,381241.0,6250.0
242,35775,12173.0001,290.0
243,35776,73498.0001,1450.0
244,35801,1603625.0,10680.0
245,35802,1484158.0,11780.0
246,35803,1268585.0,14500.0
247,35805,247262.0001,8210.0
248,35806,1127982.0,13180.0
249,35808,42502.0002,440.0
250,35810,525439.0,14580.0
251,35811,1009664.0,13700.0
252,35816,190171.0001,6160.0
253,35824,448697.0,4950.0
254,35901,468714.0,7740.0
255,35903,322906.0,7430.0
256,35904,223890.0,5620.0
257,35905,154796.0,2800.0
258,35906,269621.0,4670.0
259,35907,288141.0,4140.0
260,35950,407391.0,8970.0
261,35951,235893.0,5310.0
262,35952,133902.0001,2800.0
263,35953,178493.0,3180.0
264,35954,205073.0,4920.0
265,35956,183460.0,3780.0
266,35957,304738.0,6600.0
267,35958,60385.0,1230.0
268,35959,102355.0,2010.0
269,35960,217714.0,4000.0
270,35961,94719.0001,2390.0
271,35962,123156.0001,2860.0
272,35963,27261.0,680.0
273,35966,68777.0,1370.0
274,35967,323045.0,6630.0
275,35968,123321.0,2300.0
276,35971,89460.0001,1860.0
277,35972,29146.0,530.0
278,35973,50663.0,1100.0
279,35974,31401.0,770.0
280,35975,19970.0,390.0
281,35976,648031.0,7540.0
282,35978,109315.0001,2110.0
283,35979,23865.0,540.0
284,35980,85484.0001,1960.0
285,35981,38031.0,810.0
286,35983,82313.0001,1610.0
287,35984,46635.0001,880.0
288,35986,181551.0,3400.0
289,35987,50942.0,1070.0
290,35988,30954.0,720.0
291,35989,68512.0,1340.0
292,36003,38088.0,810.0
293,36005,35936.0,730.0
294,36006,28759.0,580.0
295,36009,59309.0,1130.0
