,zillow_zip,zillow_month_day,zillow_rent_value_index,zillow_month
120,10001,2015-03-31,3997.445534055802,2015-03
262,10001,2015-04-30,4027.333866766817,2015-04
404,10001,2015-05-31,4085.822079844093,2015-05
546,10001,2015-06-30,4131.364124064714,2015-06
688,10001,2015-07-31,4153.720059215512,2015-07
830,10001,2015-08-31,4152.333068298168,2015-08
972,10001,2015-09-30,4170.908276379547,2015-09
1114,10001,2015-10-31,4169.668753742456,2015-10
1256,10001,2015-11-30,4148.868548574144,2015-11
1398,10001,2015-12-31,4079.0690031835525,2015-12
1540,10001,2016-01-31,4044.866564971263,2016-01
1682,10001,2016-02-29,4018.893670277625,2016-02
1824,10001,2016-03-31,4066.1055586967573,2016-03
1966,10001,2016-04-30,4087.2417626056604,2016-04
2108,10001,2016-05-31,4130.286211478877,2016-05
2250,10001,2016-06-30,4130.97412115631,2016-06
2392,10001,2016-07-31,4151.479562426366,2016-07
2534,10001,2016-08-31,4160.91810676173,2016-08
2676,10001,2016-09-30,4162.973847437506,2016-09
2818,10001,2016-10-31,4147.018086402687,2016-10
2960,10001,2016-11-30,4102.473858565876,2016-11
3102,10001,2016-12-31,4046.185560330953,2016-12
3244,10001,2017-01-31,4008.8807019560963,2017-01
3386,10001,2017-02-28,3960.861411627564,2017-02
3528,10001,2017-03-31,3964.227455545125,2017-03
3670,10001,2017-04-30,3983.122293890828,2017-04
3812,10001,2017-05-31,4039.447245381553,2017-05
3954,10001,2017-06-30,4071.7972138410537,2017-06
4096,10001,2017-07-31,4096.083173520211,2017-07
4238,10001,2017-08-31,4119.5302482821535,2017-08
4380,10001,2017-09-30,4110.497854470011,2017-09
4522,10001,2017-10-31,4097.002496369516,2017-10
4664,10001,2017-11-30,4012.273282050163,2017-11
4806,10001,2017-12-31,3953.15652472652,2017-12
4948,10001,2018-01-31,3871.8504515423297,2018-01
5090,10001,2018-02-28,3887.016291800854,2018-02
5232,10001,2018-03-31,3929.654024459353,2018-03
5374,10001,2018-04-30,4008.365800488016,2018-04
5516,10001,2018-05-31,4081.1376456997996,2018-05
5658,10001,2018-06-30,4141.407571038529,2018-06
5800,10001,2018-07-31,4179.3470461014,2018-07
5942,10001,2018-08-31,4197.7639375033805,2018-08
6084,10001,2018-09-30,4182.711970204809,2018-09
6226,10001,2018-10-31,4164.934255114948,2018-10
6368,10001,2018-11-30,4170.360392708422,2018-11
6510,10001,2018-12-31,4155.469674450851,2018-12
6652,10001,2019-01-31,4152.704209726328,2019-01
6794,10001,2019-02-28,4083.844195708556,2019-02
6936,10001,2019-03-31,4105.884865342049,2019-03
7078,10001,2019-04-30,4137.203446934275,2019-04
7220,10001,2019-05-31,4218.23966693735,2019-05
7362,10001,2019-06-30,4253.279543232689,2019-06
7504,10001,2019-07-31,4276.660967713232,2019-07
7646,10001,2019-08-31,4329.087893726148,2019-08
7788,10001,2019-09-30,4333.665380744966,2019-09
7930,10001,2019-10-31,4313.309110719467,2019-10
8072,10001,2019-11-30,4270.214847134371,2019-11
8214,10001,2019-12-31,4226.098041584586,2019-12
