,zillow_zip,zillow_month_day,zillow_rent_value_index,zillow_month
2141,10000,1/31/2016,2833.6,2016-01
4541,10000,1/31/2017,2820.8,2017-01
6941,10000,1/31/2018,2859.2,2018-01
9341,10000,1/31/2019,2927.0,2019-01
11741,10000,1/31/2020,3016.4,2020-01
14141,10000,1/31/2021,2537.7,2021-01
16541,10000,1/31/2022,3152.4,2022-01
18941,10000,1/31/2023,3430.7,2023-01
1541,10000,10/31/2015,2865.4,2015-10
3941,10000,10/31/2016,2877.0,2016-10
6341,10000,10/31/2017,2907.9,2017-10
8741,10000,10/31/2018,2963.3,2018-10
11141,10000,10/31/2019,3041.0,2019-10
13541,10000,10/31/2020,2675.4,2020-10
15941,10000,10/31/2021,3047.1,2021-10
18341,10000,10/31/2022,3521.2,2022-10
1741,10000,11/30/2015,2855.0,2015-11
4141,10000,11/30/2016,2851.5,2016-11
6541,10000,11/30/2017,2883.1,2017-11
8941,10000,11/30/2018,2943.5,2018-11
11341,10000,11/30/2019,3017.6,2019-11
13741,10000,11/30/2020,2608.3,2020-11
16141,10000,11/30/2021,3080.2,2021-11
18541,10000,11/30/2022,3474.7,2022-11
1941,10000,12/31/2015,2840.8,2015-12
4341,10000,12/31/2016,2830.6,2016-12
6741,10000,12/31/2017,2861.4,2017-12
9141,10000,12/31/2018,2932.0,2018-12
11541,10000,12/31/2019,3011.2,2019-12
13941,10000,12/31/2020,2559.9,2020-12
16341,10000,12/31/2021,3121.3,2021-12
18741,10000,12/31/2022,3441.4,2022-12
4741,10000,2/28/2017,2827.8,2017-02
7141,10000,2/28/2018,2869.8,2018-02
9541,10000,2/28/2019,2939.0,2019-02
14341,10000,2/28/2021,2542.6,2021-02
16741,10000,2/28/2022,3208.1,2022-02
2341,10000,2/29/2016,2837.2,2016-02
11941,10000,2/29/2020,3041.6,2020-02
141,10000,3/31/2015,2770.3,2015-03
2541,10000,3/31/2016,2843.5,2016-03
4941,10000,3/31/2017,2839.2,2017-03
7341,10000,3/31/2018,2883.0,2018-03
9741,10000,3/31/2019,2956.8,2019-03
12141,10000,3/31/2020,3047.6,2020-03
14541,10000,3/31/2021,2576.2,2021-03
16941,10000,3/31/2022,3265.6,2022-03
341,10000,4/30/2015,2790.7,2015-04
2741,10000,4/30/2016,2848.5,2016-04
5141,10000,4/30/2017,2858.5,2017-04
7541,10000,4/30/2018,2903.3,2018-04
9941,10000,4/30/2019,2978.9,2019-04
12341,10000,4/30/2020,3040.2,2020-04
14741,10000,4/30/2021,2618.6,2021-04
17141,10000,4/30/2022,3333.5,2022-04
541,10000,5/31/2015,2807.5,2015-05
2941,10000,5/31/2016,2861.1,2016-05
5341,10000,5/31/2017,2880.8,2017-05
7741,10000,5/31/2018,2921.9,2018-05
10141,10000,5/31/2019,3001.5,2019-05
12541,10000,5/31/2020,3011.0,2020-05
14941,10000,5/31/2021,2678.8,2021-05
17341,10000,5/31/2022,3398.6,2022-05
741,10000,6/30/2015,2824.5,2015-06
3141,10000,6/30/2016,2874.7,2016-06
5541,10000,6/30/2017,2906.6,2017-06
7941,10000,6/30/2018,2942.4,2018-06
10341,10000,6/30/2019,3025.4,2019-06
12741,10000,6/30/2020,2967.9,2020-06
15141,10000,6/30/2021,2746.7,2021-06
17541,10000,6/30/2022,3460.4,2022-06
941,10000,7/31/2015,2843.6,2015-07
3341,10000,7/31/2016,2889.3,2016-07
5741,10000,7/31/2017,2922.7,2017-07
8141,10000,7/31/2018,2956.3,2018-07
10541,10000,7/31/2019,3041.5,2019-07
12941,10000,7/31/2020,2915.2,2020-07
15341,10000,7/31/2021,2829.3,2021-07
17741,10000,7/31/2022,3513.8,2022-07
1141,10000,8/31/2015,2856.8,2015-08
3541,10000,8/31/2016,2893.7,2016-08
5941,10000,8/31/2017,2934.0,2017-08
8341,10000,8/31/2018,2965.7,2018-08
10741,10000,8/31/2019,3051.2,2019-08
13141,10000,8/31/2020,2839.7,2020-08
15541,10000,8/31/2021,2916.3,2021-08
17941,10000,8/31/2022,3545.5,2022-08
1341,10000,9/30/2015,2866.8,2015-09
3741,10000,9/30/2016,2888.2,2016-09
6141,10000,9/30/2017,2930.8,2017-09
8541,10000,9/30/2018,2968.1,2018-09
10941,10000,9/30/2019,3050.1,2019-09
13341,10000,9/30/2020,2756.2,2020-09
15741,10000,9/30/2021,2989.3,2021-09
18141,10000,9/30/2022,3546.6,2022-09
2119,10001,1/31/2016,4044.866565,2016-01
4519,10001,1/31/2017,4008.8807020000004,2017-01
6919,10001,1/31/2018,3871.850452,2018-01
9319,10001,1/31/2019,4152.70421,2019-01
11719,10001,1/31/2020,4212.175003,2020-01
14119,10001,1/31/2021,3457.3289189999996,2021-01
16519,10001,1/31/2022,4654.259503,2022-01
18919,10001,1/31/2023,4765.81773,2023-01
1519,10001,10/31/2015,4169.668754,2015-10
3919,10001,10/31/2016,4147.018086,2016-10
6319,10001,10/31/2017,4097.002496,2017-10
8719,10001,10/31/2018,4164.934255,2018-10
11119,10001,10/31/2019,4313.309111,2019-10
13519,10001,10/31/2020,3497.878349,2020-10
15919,10001,10/31/2021,4627.138516,2021-10
18319,10001,10/31/2022,5071.489976,2022-10
1719,10001,11/30/2015,4148.868549,2015-11
4119,10001,11/30/2016,4102.473859000001,2016-11
6519,10001,11/30/2017,4012.273282,2017-11
8919,10001,11/30/2018,4170.360393,2018-11
11319,10001,11/30/2019,4270.214847,2019-11
13719,10001,11/30/2020,3451.730071,2020-11
16119,10001,11/30/2021,4660.626472999999,2021-11
18519,10001,11/30/2022,4976.17807,2022-11
1919,10001,12/31/2015,4079.069003,2015-12
4319,10001,12/31/2016,4046.1855600000004,2016-12
6719,10001,12/31/2017,3953.156525,2017-12
9119,10001,12/31/2018,4155.469674,2018-12
11519,10001,12/31/2019,4226.0980420000005,2019-12
13919,10001,12/31/2020,3435.6413039999998,2020-12
16319,10001,12/31/2021,4648.038222,2021-12
18719,10001,12/31/2022,4844.338621,2022-12
4719,10001,2/28/2017,3960.8614119999997,2017-02
7119,10001,2/28/2018,3887.0162920000002,2018-02
9519,10001,2/28/2019,4083.844196,2019-02
14319,10001,2/28/2021,3495.3204619999997,2021-02
16719,10001,2/28/2022,4732.186299,2022-02
2319,10001,2/29/2016,4018.8936700000004,2016-02
11919,10001,2/29/2020,4222.015456,2020-02
119,10001,3/31/2015,3997.4455340000004,2015-03
2519,10001,3/31/2016,4066.1055590000005,2016-03
4919,10001,3/31/2017,3964.227456,2017-03
7319,10001,3/31/2018,3929.6540240000004,2018-03
9719,10001,3/31/2019,4105.884865,2019-03
12119,10001,3/31/2020,4258.322647,2020-03
14519,10001,3/31/2021,3553.036483,2021-03
16919,10001,3/31/2022,4750.945878,2022-03
319,10001,4/30/2015,4027.3338670000003,2015-04
2719,10001,4/30/2016,4087.2417630000004,2016-04
5119,10001,4/30/2017,3983.122294,2017-04
7519,10001,4/30/2018,4008.3658,2018-04
9919,10001,4/30/2019,4137.203447,2019-04
12319,10001,4/30/2020,4241.811681,2020-04
14719,10001,4/30/2021,3692.2236390000003,2021-04
17119,10001,4/30/2022,4797.926786999999,2022-04
519,10001,5/31/2015,4085.82208,2015-05
2919,10001,5/31/2016,4130.286211,2016-05
5319,10001,5/31/2017,4039.4472450000003,2017-05
7719,10001,5/31/2018,4081.137646,2018-05
10119,10001,5/31/2019,4218.239667,2019-05
12519,10001,5/31/2020,4178.641008,2020-05
14919,10001,5/31/2021,3856.6822399999996,2021-05
17319,10001,5/31/2022,4847.662134,2022-05
719,10001,6/30/2015,4131.364124000001,2015-06
3119,10001,6/30/2016,4130.974121,2016-06
5519,10001,6/30/2017,4071.797214,2017-06
7919,10001,6/30/2018,4141.407571,2018-06
10319,10001,6/30/2019,4253.279543,2019-06
12719,10001,6/30/2020,4083.1289590000006,2020-06
15119,10001,6/30/2021,4057.653564,2021-06
17519,10001,6/30/2022,5005.941734,2022-06
919,10001,7/31/2015,4153.720059,2015-07
3319,10001,7/31/2016,4151.4795619999995,2016-07
5719,10001,7/31/2017,4096.083174,2017-07
8119,10001,7/31/2018,4179.347046,2018-07
10519,10001,7/31/2019,4276.660968,2019-07
12919,10001,7/31/2020,3940.90789,2020-07
15319,10001,7/31/2021,4253.323420000001,2021-07
17719,10001,7/31/2022,5151.8784829999995,2022-07
1119,10001,8/31/2015,4152.333068,2015-08
3519,10001,8/31/2016,4160.918107,2016-08
5919,10001,8/31/2017,4119.530248,2017-08
8319,10001,8/31/2018,4197.763938,2018-08
10719,10001,8/31/2019,4329.087893999999,2019-08
13119,10001,8/31/2020,3762.4771979999996,2020-08
15519,10001,8/31/2021,4417.889086,2021-08
17919,10001,8/31/2022,5196.6955020000005,2022-08
1319,10001,9/30/2015,4170.908276,2015-09
3719,10001,9/30/2016,4162.973847,2016-09
6119,10001,9/30/2017,4110.497854,2017-09
8519,10001,9/30/2018,4182.71197,2018-09
10919,10001,9/30/2019,4333.665381,2019-09
13319,10001,9/30/2020,3603.312042,2020-09
15719,10001,9/30/2021,4583.2793280000005,2021-09
18119,10001,9/30/2022,5149.94594,2022-09
2035,10002,1/31/2016,2914.912614,2016-01
4435,10002,1/31/2017,2963.649488,2017-01
6835,10002,1/31/2018,3002.1440030000003,2018-01
9235,10002,1/31/2019,3088.319649,2019-01
11635,10002,1/31/2020,3181.597403,2020-01
14035,10002,1/31/2021,2579.4665670000004,2021-01
16435,10002,1/31/2022,3487.732901,2022-01
18835,10002,1/31/2023,3640.1751759999997,2023-01
1435,10002,10/31/2015,2973.0773329999997,2015-10
3835,10002,10/31/2016,3038.825261,2016-10
6235,10002,10/31/2017,3036.079259,2017-10
8635,10002,10/31/2018,3111.754811,2018-10
11035,10002,10/31/2019,3247.608198,2019-10
13435,10002,10/31/2020,2710.9618600000003,2020-10
15835,10002,10/31/2021,3376.15175,2021-10
18235,10002,10/31/2022,3821.010181,2022-10
1635,10002,11/30/2015,2929.9269719999998,2015-11
4035,10002,11/30/2016,2994.349731,2016-11
6435,10002,11/30/2017,2990.7861789999997,2017-11
8835,10002,11/30/2018,3085.298884,2018-11
11235,10002,11/30/2019,3210.959704,2019-11
13635,10002,11/30/2020,2621.58477,2020-11
16035,10002,11/30/2021,3417.25589,2021-11
18435,10002,11/30/2022,3748.681983,2022-11
1835,10002,12/31/2015,2920.658539,2015-12
4235,10002,12/31/2016,2992.745413,2016-12
6635,10002,12/31/2017,2969.221106,2017-12
9035,10002,12/31/2018,3079.086184,2018-12
11435,10002,12/31/2019,3195.803464,2019-12
13835,10002,12/31/2020,2591.2191829999997,2020-12
16235,10002,12/31/2021,3436.9353770000002,2021-12
18635,10002,12/31/2022,3688.558986,2022-12
4635,10002,2/28/2017,3012.830101,2017-02
7035,10002,2/28/2018,3040.405722,2018-02
9435,10002,2/28/2019,3104.465142,2019-02
14235,10002,2/28/2021,2601.63481,2021-02
16635,10002,2/28/2022,3508.468004,2022-02
2235,10002,2/29/2016,2940.62783,2016-02
11835,10002,2/29/2020,3234.616072,2020-02
35,10002,3/31/2015,2875.605272,2015-03
2435,10002,3/31/2016,2951.273037,2016-03
4835,10002,3/31/2017,3018.177023,2017-03
7235,10002,3/31/2018,3078.6915329999997,2018-03
9635,10002,3/31/2019,3114.397021,2019-03
12035,10002,3/31/2020,3228.615251,2020-03
14435,10002,3/31/2021,2626.6216600000002,2021-03
16835,10002,3/31/2022,3564.9629579999996,2022-03
235,10002,4/30/2015,2895.0705629999998,2015-04
2635,10002,4/30/2016,2971.467173,2016-04
5035,10002,4/30/2017,3046.649695,2017-04
7435,10002,4/30/2018,3091.655823,2018-04
9835,10002,4/30/2019,3132.676915,2019-04
12235,10002,4/30/2020,3237.244487,2020-04
14635,10002,4/30/2021,2709.739192,2021-04
17035,10002,4/30/2022,3618.5489350000003,2022-04
435,10002,5/31/2015,2919.553272,2015-05
2835,10002,5/31/2016,2985.565721,2016-05
5235,10002,5/31/2017,3048.648547,2017-05
7635,10002,5/31/2018,3113.506538,2018-05
10035,10002,5/31/2019,3164.163268,2019-05
12435,10002,5/31/2020,3191.025381,2020-05
14835,10002,5/31/2021,2822.753023,2021-05
17235,10002,5/31/2022,3700.8405799999996,2022-05
635,10002,6/30/2015,2936.560406,2015-06
3035,10002,6/30/2016,3016.334084,2016-06
5435,10002,6/30/2017,3063.2002780000003,2017-06
7835,10002,6/30/2018,3130.6223,2018-06
10235,10002,6/30/2019,3199.912986,2019-06
12635,10002,6/30/2020,3143.493372,2020-06
15035,10002,6/30/2021,2962.7950760000003,2021-06
17435,10002,6/30/2022,3776.891321,2022-06
835,10002,7/31/2015,2959.897007,2015-07
3235,10002,7/31/2016,3039.161282,2016-07
5635,10002,7/31/2017,3082.9226350000004,2017-07
8035,10002,7/31/2018,3147.1334030000003,2018-07
10435,10002,7/31/2019,3229.084934,2019-07
12835,10002,7/31/2020,3073.974547,2020-07
15235,10002,7/31/2021,3116.111241,2021-07
17635,10002,7/31/2022,3833.777153,2022-07
1035,10002,8/31/2015,2982.8790440000002,2015-08
3435,10002,8/31/2016,3058.540675,2016-08
5835,10002,8/31/2017,3084.663018,2017-08
8235,10002,8/31/2018,3153.915208,2018-08
10635,10002,8/31/2019,3238.6716260000003,2019-08
13035,10002,8/31/2020,2963.843883,2020-08
15435,10002,8/31/2021,3249.984578,2021-08
17835,10002,8/31/2022,3865.4550299999996,2022-08
1235,10002,9/30/2015,2993.977867,2015-09
3635,10002,9/30/2016,3046.304804,2016-09
6035,10002,9/30/2017,3068.477194,2017-09
8435,10002,9/30/2018,3142.768136,2018-09
10835,10002,9/30/2019,3257.3526039999997,2019-09
13235,10002,9/30/2020,2841.011806,2020-09
15635,10002,9/30/2021,3341.505615,2021-09
18035,10002,9/30/2022,3859.836636,2022-09
2063,10003,1/31/2016,3289.799831,2016-01
4463,10003,1/31/2017,3301.3152649999997,2017-01
6863,10003,1/31/2018,3297.216542,2018-01
9263,10003,1/31/2019,3450.070468,2019-01
11663,10003,1/31/2020,3522.7257130000003,2020-01
14063,10003,1/31/2021,2882.255902,2021-01
16463,10003,1/31/2022,3852.7553159999998,2022-01
18863,10003,1/31/2023,4165.333944,2023-01
1463,10003,10/31/2015,3337.718425,2015-10
3863,10003,10/31/2016,3369.692986,2016-10
6263,10003,10/31/2017,3420.674925,2017-10
8663,10003,10/31/2018,3480.016765,2018-10
11063,10003,10/31/2019,3581.007358,2019-10
13463,10003,10/31/2020,3014.316906,2020-10
15863,10003,10/31/2021,3759.711301,2021-10
18263,10003,10/31/2022,4229.178607,2022-10
1663,10003,11/30/2015,3307.081556,2015-11
4063,10003,11/30/2016,3342.980789,2016-11
6463,10003,11/30/2017,3382.0606420000004,2017-11
8863,10003,11/30/2018,3483.3762829999996,2018-11
11263,10003,11/30/2019,3556.220311,2019-11
13663,10003,11/30/2020,2933.695359,2020-11
16063,10003,11/30/2021,3761.8551090000005,2021-11
18463,10003,11/30/2022,4219.254753,2022-11
1863,10003,12/31/2015,3293.129563,2015-12
4263,10003,12/31/2016,3305.781614,2016-12
