,zillow_zip,zillow_month_day,zillow_sales_value_index,zillow_month
139,10001,2010-01-31,613892.3596506055,2010-01
317,10001,2010-02-28,607612.1639123929,2010-02
495,10001,2010-03-31,604503.8323971108,2010-03
673,10001,2010-04-30,605535.6080252704,2010-04
851,10001,2010-05-31,608584.4604741371,2010-05
1029,10001,2010-06-30,613900.7083528871,2010-06
1207,10001,2010-07-31,622598.6951737994,2010-07
1385,10001,2010-08-31,631902.530081071,2010-08
1563,10001,2010-09-30,640507.6109369036,2010-09
1741,10001,2010-10-31,645537.0426862449,2010-10
1919,10001,2010-11-30,642013.9823149835,2010-11
2097,10001,2010-12-31,636339.163796638,2010-12
2275,10001,2011-01-31,631585.7104377394,2011-01
2453,10001,2011-02-28,633866.8529098377,2011-02
2631,10001,2011-03-31,638362.066007141,2011-03
2809,10001,2011-04-30,641800.0529346253,2011-04
2987,10001,2011-05-31,644271.1886410656,2011-05
3165,10001,2011-06-30,647392.5301970071,2011-06
3343,10001,2011-07-31,649742.630919015,2011-07
3521,10001,2011-08-31,655998.2647294247,2011-08
3699,10001,2011-09-30,662992.0897614897,2011-09
3877,10001,2011-10-31,668579.9662777074,2011-10
4055,10001,2011-11-30,670268.9549723893,2011-11
4233,10001,2011-12-31,670299.4123083284,2011-12
4411,10001,2012-01-31,669644.5749118574,2012-01
4589,10001,2012-02-29,669687.2861404746,2012-02
4767,10001,2012-03-31,671843.8689612289,2012-03
4945,10001,2012-04-30,678827.7066215472,2012-04
5123,10001,2012-05-31,689858.2470887618,2012-05
5301,10001,2012-06-30,704543.8678724911,2012-06
5479,10001,2012-07-31,720811.7313125697,2012-07
5657,10001,2012-08-31,740179.8831124342,2012-08
5835,10001,2012-09-30,756241.1415487217,2012-09
6013,10001,2012-10-31,767856.1509885263,2012-10
6191,10001,2012-11-30,769802.9849950684,2012-11
6369,10001,2012-12-31,763460.0267372299,2012-12
6547,10001,2013-01-31,758730.9589370444,2013-01
6725,10001,2013-02-28,757807.7031103978,2013-02
6903,10001,2013-03-31,766002.8812071787,2013-03
7081,10001,2013-04-30,775540.1285857181,2013-04
7259,10001,2013-05-31,785166.3541223732,2013-05
7437,10001,2013-06-30,797073.4173372192,2013-06
7615,10001,2013-07-31,813205.9501794836,2013-07
7793,10001,2013-08-31,836569.5230727582,2013-08
7971,10001,2013-09-30,861991.7157609416,2013-09
8149,10001,2013-10-31,892714.4996625419,2013-10
8327,10001,2013-11-30,915152.0389061819,2013-11
8505,10001,2013-12-31,929985.4498193242,2013-12
8683,10001,2014-01-31,939102.4710139792,2014-01
8861,10001,2014-02-28,949595.5000575349,2014-02
9039,10001,2014-03-31,965139.2866655238,2014-03
9217,10001,2014-04-30,977879.5309433049,2014-04
9395,10001,2014-05-31,991040.390634642,2014-05
9573,10001,2014-06-30,1002003.1882671084,2014-06
9751,10001,2014-07-31,1012196.9732869893,2014-07
9929,10001,2014-08-31,1025582.8323858472,2014-08
10107,10001,2014-09-30,1037612.273551465,2014-09
10285,10001,2014-10-31,1052583.629518663,2014-10
10463,10001,2014-11-30,1063632.1747790186,2014-11
10641,10001,2014-12-31,1069545.3595886915,2014-12
10819,10001,2015-01-31,1071944.8612001694,2015-01
10997,10001,2015-02-28,1074560.8320938617,2015-02
11175,10001,2015-03-31,1083743.3309432305,2015-03
11353,10001,2015-04-30,1097023.8914814626,2015-04
11531,10001,2015-05-31,1115161.805728239,2015-05
11709,10001,2015-06-30,1138967.2138354874,2015-06
11887,10001,2015-07-31,1164178.4886664718,2015-07
12065,10001,2015-08-31,1189548.8227991164,2015-08
12243,10001,2015-09-30,1202561.3928918492,2015-09
12421,10001,2015-10-31,1206325.4882267541,2015-10
12599,10001,2015-11-30,1200122.850417345,2015-11
12777,10001,2015-12-31,1197695.7478877336,2015-12
12955,10001,2016-01-31,1199833.0564124722,2016-01
13133,10001,2016-02-29,1211057.6620449836,2016-02
13311,10001,2016-03-31,1227584.877319845,2016-03
13489,10001,2016-04-30,1240782.16082678,2016-04
13667,10001,2016-05-31,1248595.3106280614,2016-05
13845,10001,2016-06-30,1254138.0744414774,2016-06
14023,10001,2016-07-31,1259508.966685686,2016-07
14201,10001,2016-08-31,1265794.4066577072,2016-08
14379,10001,2016-09-30,1268777.26121974,2016-09
14557,10001,2016-10-31,1272715.8778576942,2016-10
14735,10001,2016-11-30,1278020.991988835,2016-11
14913,10001,2016-12-31,1285614.1724992518,2016-12
15091,10001,2017-01-31,1301567.3990388352,2017-01
15269,10001,2017-02-28,1333038.6524431724,2017-02
15447,10001,2017-03-31,1361626.099334206,2017-03
15625,10001,2017-04-30,1387069.3786490413,2017-04
15803,10001,2017-05-31,1393938.318083772,2017-05
15981,10001,2017-06-30,1414791.310891888,2017-06
16159,10001,2017-07-31,1428434.5664627117,2017-07
16337,10001,2017-08-31,1450034.9241156012,2017-08
16515,10001,2017-09-30,1449552.2141908843,2017-09
16693,10001,2017-10-31,1509748.4649543043,2017-10
16871,10001,2017-11-30,1603035.3803439988,2017-11
17049,10001,2017-12-31,1745502.9345012547,2017-12
17227,10001,2018-01-31,1841140.613745017,2018-01
17405,10001,2018-02-28,1915668.6549196404,2018-02
17583,10001,2018-03-31,1964226.4106924539,2018-03
17761,10001,2018-04-30,2013330.1503606914,2018-04
17939,10001,2018-05-31,2043393.990350021,2018-05
18117,10001,2018-06-30,2045774.0855918853,2018-06
18295,10001,2018-07-31,2037484.5630887975,2018-07
18473,10001,2018-08-31,2028126.593836609,2018-08
18651,10001,2018-09-30,2052248.9945508281,2018-09
18829,10001,2018-10-31,2066449.5701124838,2018-10
19007,10001,2018-11-30,2071197.150021584,2018-11
19185,10001,2018-12-31,2053287.342728112,2018-12
19363,10001,2019-01-31,1996958.9107392384,2019-01
19541,10001,2019-02-28,1927927.6430521952,2019-02
19719,10001,2019-03-31,1841165.6149924863,2019-03
19897,10001,2019-04-30,1789520.1186193197,2019-04
20075,10001,2019-05-31,1758680.315107708,2019-05
20253,10001,2019-06-30,1753315.7888556675,2019-06
20431,10001,2019-07-31,1759221.6449295224,2019-07
20609,10001,2019-08-31,1755681.5889169078,2019-08
20787,10001,2019-09-30,1730435.9765791262,2019-09
20965,10001,2019-10-31,1674782.7514295143,2019-10
21143,10001,2019-11-30,1616625.939399482,2019-11
21321,10001,2019-12-31,1552870.4976487162,2019-12
21499,10001,2020-01-31,1505804.5066028992,2020-01
21677,10001,2020-02-29,1454731.9089325375,2020-02
21855,10001,2020-03-31,1412625.603694979,2020-03
22033,10001,2020-04-30,1384450.2989728423,2020-04
22211,10001,2020-05-31,1378950.8410650278,2020-05
22389,10001,2020-06-30,1378429.1383577643,2020-06
22567,10001,2020-07-31,1381105.005149143,2020-07
22745,10001,2020-08-31,1382103.7597543765,2020-08
22923,10001,2020-09-30,1397659.7458021129,2020-09
23101,10001,2020-10-31,1413423.4335130036,2020-10
23279,10001,2020-11-30,1421489.6165173908,2020-11
23457,10001,2020-12-31,1416238.2783539246,2020-12
23635,10001,2021-01-31,1404390.332869964,2021-01
23813,10001,2021-02-28,1388244.267954706,2021-02
23991,10001,2021-03-31,1391402.099038581,2021-03
24169,10001,2021-04-30,1382879.3845530862,2021-04
24347,10001,2021-05-31,1378012.5470120714,2021-05
24525,10001,2021-06-30,1353447.1497630766,2021-06
24703,10001,2021-07-31,1349771.07634102,2021-07
24881,10001,2021-08-31,1357057.9921005787,2021-08
25059,10001,2021-09-30,1378810.537476928,2021-09
25237,10001,2021-10-31,1398330.4867381696,2021-10
25415,10001,2021-11-30,1422920.0822078038,2021-11
25593,10001,2021-12-31,1442224.5199844104,2021-12
25771,10001,2022-01-31,1472073.572396266,2022-01
25949,10001,2022-02-28,1506296.6662980628,2022-02
26127,10001,2022-03-31,1555826.5466706,2022-03
26305,10001,2022-04-30,1593842.3640831404,2022-04
26483,10001,2022-05-31,1624576.8988636,2022-05
26661,10001,2022-06-30,1646980.649555939,2022-06
26839,10001,2022-07-31,1656296.9933256442,2022-07
